From Greg Thompson's file at https://www.aviationweather.gov/docs/metar/stations.txt
PAKH AKHIOK 15 US AK 56.93333 -154.18333 
PAUT AKUTAN 25 US AK 54.13333 -165.6 
PZ74 ALASKAN_ARTCC 1 US AK 60.15 -164.28333 
PZ76 ALASKAN_ARTCC 647 US AK 65.25 -134.65 
PAFM AMBLER 79 US AK 67.09999 -157.85 
PAKP ANAKTUVUK_PASS 649 US AK 68.13333 -151.73333 
PZAN ANCHORAGE/ARTCC 22 US AK 61.16666 -149.98333 
PANC ANCHORAGE_INTL 39 US AK 61.16666 -150.01666 
PALH ANCHORAGE/LAKE_H 26 US AK 61.18333 -149.96666 
PAMR ANCHORAGE/MERRIL 43 US AK 61.21666 -149.85 
PAFC ANCHORAGE/WFO 48 US AK 61.16666 -150.03333 
PAHG ANCHORAG/NIKISKI 74 US AK 60.73333 -151.35 
PAGN ANGOON_SEAPLANE 2 US AK 57.5 -134.58333 
PANI ANIAK 21 US AK 61.58333 -159.53333 
PANT ANNETTE_ISLAND 29 US AK 55.03333 -131.56666 
PANV ANVIK 91 US AK 62.65 -160.18333 
PARC ARCTIC_VILLAGE 626 US AK 68.11666 -145.58333 
PAAK ATKA 11 US AK 52.21666 -174.2 
PATQ ATQASUK_BURNELL 28 US AK 70.46666 -157.43333 
PABA BARTER_ISLAND 1 US AK 70.13333 -143.58333 
PABC BETHEL/88D 49 US AK 60.8 -161.88333 
PABE BETHEL 28 US AK 60.78333 -161.83333 
PABT BETTLES 195 US AK 66.91666 -151.51666 
PALV BIG_RIVER_LAKES 12 US AK 60.81666 -152.3 
PABV BIRCHWOOD 21 US AK 61.41666 -149.51666 
PFKT BREVIG_MISSION 8 US AK 65.33333 -166.46666 
PAFR BRYANT_ARMY_AF 106 US AK 61.26666 -149.65 
PABL BUCKLAND 7 US AK 65.98333 -161.15 
PATW CANTWELL 668 US AK 63.38333 -148.94999 
PALU CAPE_LISBURNE 8 US AK 68.88333 -166.1 
PAEH CAPE_NEWENHAM 101 US AK 58.65 -162.06666 
PACZ CAPE_ROMANZOF 129 US AK 61.78333 -166.03333 
